Unreal -> Engine : 1.0, 1.97
by -> the : 1.0, 1.07
by -> Linux : 0.0, 0.73
rails -> 'I'm : 1.0, 1.89
'I'm -> rails : 1.0, 1.98
developer: -> 'I'm : 1.0, 1.89
'I'm -> developer: : 1.0, 1.98
'I'm -> tired : 1.0, 1.98
tired -> 'I'm : 1.0, 1.89
'I'm -> f*cking : 1.0, 1.98
f*cking -> 'I'm : 1.0, 1.81
'I'm -> your : 1.0, 1.98
your -> 'I'm : 1.0, 1.02
at -> 'I'm : 0.0, 0.77
'I'm -> at : 1.0, 1.98
Torvalds -> 'I'm : 0.0, 0.62
'I'm -> Torvalds : 2.0, 2.0
'I'm -> of : 2.0, 2.0
'I'm -> Linux : 2.0, 2.0
How -> to : 1.0, 1.44
Bitcoin -> Windows, : 1.0, 1.71
Windows, -> Bitcoin : 1.0, 1.57
Bitcoin -> for : 1.0, 1.89
Bitcoin -> and : 1.0, 1.71
Bitcoin -> Linux : 1.0, 1.91
For ->  : 0.0, 0.67
For -> New : 0.0, 0.71
For -> New : 1.0, 1.07
For -> Linux : 1.0, 1.78
For -> Linux : 2.0, 2.67
Software -> Linux : 0.0, 0.71
rails -> developer: : 1.0, 1.98
developer: -> rails : 1.0, 1.98
rails -> tired : 1.0, 1.98
tired -> rails : 1.0, 1.98
rails -> f*cking : 1.0, 1.98
f*cking -> rails : 1.0, 1.89
rails -> your : 1.0, 1.89
your -> rails : 1.0, 1.02
rails -> at : 1.0, 1.98
at -> rails : 0.0, 0.8
Torvalds -> rails : 0.0, 0.65
rails -> Torvalds : 2.0, 2.0
rails -> of : 2.0, 2.0
rails -> Linux : 2.0, 2.0
developer: -> tired : 1.0, 1.98
tired -> developer: : 1.0, 1.98
developer: -> f*cking : 1.0, 1.98
f*cking -> developer: : 1.0, 1.89
developer: -> your : 1.0, 1.89
your -> developer: : 1.0, 1.02
at -> developer: : 0.0, 0.8
developer: -> at : 1.0, 1.98
Torvalds -> developer: : 0.0, 0.65
developer: -> Torvalds : 2.0, 2.0
developer: -> of : 2.0, 2.0
developer: -> Linux : 2.0, 2.0
f*cking -> tired : 1.0, 1.89
tired -> f*cking : 1.0, 1.98
tired -> your : 1.0, 1.89
your -> tired : 1.0, 1.02
at -> tired : 0.0, 0.8
tired -> at : 1.0, 1.98
Torvalds -> tired : 0.0, 0.65
tired -> Torvalds : 2.0, 2.0
tired -> of : 2.0, 2.0
tired -> Linux : 2.0, 2.0
Installation -> Cloud-Based : 0.0, 0.85
Cloud-Based -> Installation : 0.0, 0.73
Installation -> http://t.co/k4wOhuzQCd : 1.0, 1.3
http://t.co/k4wOhuzQCd -> Installation : 1.0, 1.07
Installation -> On-Demand : 1.0, 1.45
On-Demand -> Installation : 1.0, 1.05
Installation -> Self-Service : 1.0, 1.55
Self-Service -> Installation : 0.0, 0.92
Installation -> No-Contract : 1.0, 1.3
No-Contract -> Installation : 0.0, 0.72
Installation -> HPUX : 1.0, 1.72
Installation -> Automated : 1.0, 1.72
Installation -> AIX : 1.0, 1.72
Installation -> Solaris : 1.0, 1.72
Installation -> Service : 1.0, 1.72
Installation -> Linux : 2.0, 2.0
f*cking -> your : 1.0, 1.81
your -> f*cking : 1.0, 1.02
at -> f*cking : 0.0, 0.8
f*cking -> at : 1.0, 1.89
Torvalds -> f*cking : 0.0, 0.65
f*cking -> Torvalds : 1.0, 1.91
f*cking -> of : 1.0, 1.91
f*cking -> Linux : 1.0, 1.91
Windows, -> for : 1.0, 1.82
Windows, -> and : 2.0, 2.14
Windows, -> Linux : 1.0, 1.76
user ->  : 1.0, 1.39
as -> user : 1.0, 1.64
user -> as : 1.0, 1.84
user -> as : 1.0, 1.32
from -> user : 1.0, 1.48
user -> from : 1.0, 1.84
user -> from : 1.0, 1.32
user -> and : 1.0, 1.84
user -> and : 1.0, 1.32
user -> Linux : 1.0, 1.92
user -> Linux : 1.0, 1.38
Administrator ->  : 0.0, 0.73
Administrator -> Systems : 1.0, 1.33
Systems -> Administrator : 1.0, 1.28
Administrator -> Systems : 1.0, 1.84
Administrator -> at : 0.0, 0.71
Administrator -> at : 0.0, 0.97
Administrator -> Linux : 1.0, 1.53
Administrator -> Linux : 2.0, 2.11
un ->  : 0.0, 0.73
un -> Linux : 0.0, 0.98
un -> Linux : 1.0, 1.35
Monthly ->  : 0.0, 0.64
Monthly -> Cloud-Based : 0.0, 0.98
Cloud-Based -> Monthly : 0.0, 0.95
Monthly -> Cloud-Based : 1.0, 1.53
Monthly -> http://t.co/k4wOhuzQCd : 0.0, 0.85
http://t.co/k4wOhuzQCd -> Monthly : 0.0, 0.79
Monthly -> http://t.co/k4wOhuzQCd : 1.0, 1.32
Weekly -> Monthly : 1.0, 1.7
Monthly -> Weekly : 2.0, 2.28
Monthly -> Weekly : 3.0, 3.56
Daily -> Monthly : 1.0, 1.33
Monthly -> Daily : 2.0, 2.43
Monthly -> Daily : 3.0, 3.79
Monthly -> Deployment : 1.0, 1.81
Deployment -> Monthly : 0.0, 0.95
Monthly -> Deployment : 2.0, 2.82
Monthly -> HPUX : 1.0, 1.98
HPUX -> Monthly : 0.0, 0.74
Monthly -> HPUX : 3.0, 3.09
Monthly -> Automated : 1.0, 1.98
Automated -> Monthly : 0.0, 0.73
Monthly -> Automated : 3.0, 3.09
Monthly -> AIX : 1.0, 1.98
AIX -> Monthly : 0.0, 0.73
Monthly -> AIX : 3.0, 3.09
Monthly -> Solaris : 1.0, 1.98
Solaris -> Monthly : 0.0, 0.73
Monthly -> Solaris : 3.0, 3.09
Monthly -> Service : 1.0, 1.98
Service -> Monthly : 0.0, 0.71
Monthly -> Service : 3.0, 3.09
Monthly -> Linux : 2.0, 2.0
Monthly -> Linux : 3.0, 3.12
Systems ->  : 0.0, 0.64
Systems -> Linux : 1.0, 1.32
Systems -> Linux : 2.0, 2.06
as -> from : 0.0, 0.87
from -> as : 0.0, 0.79
as -> the : 0.0, 0.73
as -> and : 0.0, 0.87
as -> Linux : 1.0, 1.04
Cloud-Based ->  : 0.0, 0.71
http://t.co/k4wOhuzQCd -> Cloud-Based : 0.0, 0.91
Cloud-Based -> http://t.co/k4wOhuzQCd : 0.0, 0.95
Cloud-Based -> http://t.co/k4wOhuzQCd : 1.0, 1.33
Cloud-Based -> On-Demand : 1.0, 1.11
On-Demand -> Cloud-Based : 0.0, 0.94
Cloud-Based -> On-Demand : 1.0, 1.56
Weekly -> Cloud-Based : 0.0, 0.85
Cloud-Based -> Weekly : 1.0, 1.09
Cloud-Based -> Weekly : 1.0, 1.54
Cloud-Based -> Self-Service : 0.0, 0.69
Cloud-Based -> Self-Service : 0.0, 0.97
Cloud-Based -> No-Contract : 0.0, 0.69
Cloud-Based -> No-Contract : 0.0, 0.97
Daily -> Cloud-Based : 0.0, 0.66
Cloud-Based -> Daily : 1.0, 1.16
Cloud-Based -> Daily : 1.0, 1.64
Deployment -> Cloud-Based : 0.0, 0.68
Cloud-Based -> Deployment : 1.0, 1.25
Cloud-Based -> Deployment : 1.0, 1.77
HPUX -> Cloud-Based : 0.0, 0.78
Cloud-Based -> HPUX : 2.0, 2.0
Cloud-Based -> HPUX : 2.0, 2.82
Automated -> Cloud-Based : 0.0, 0.77
Cloud-Based -> Automated : 2.0, 2.0
Cloud-Based -> Automated : 2.0, 2.82
AIX -> Cloud-Based : 0.0, 0.77
Cloud-Based -> AIX : 2.0, 2.0
Cloud-Based -> AIX : 2.0, 2.82
Solaris -> Cloud-Based : 0.0, 0.77
Cloud-Based -> Solaris : 2.0, 2.0
Cloud-Based -> Solaris : 2.0, 2.82
Service -> Cloud-Based : 0.0, 0.75
Cloud-Based -> Service : 2.0, 2.0
Cloud-Based -> Service : 2.0, 2.82
Cloud-Based -> Linux : 2.0, 2.0
Cloud-Based -> Linux : 2.0, 2.82
New -> Linux : 1.0, 1.38
http://t.co/k4wOhuzQCd -> On-Demand : 1.0, 1.19
On-Demand -> http://t.co/k4wOhuzQCd : 1.0, 1.05
Weekly -> http://t.co/k4wOhuzQCd : 0.0, 0.8
http://t.co/k4wOhuzQCd -> Weekly : 1.0, 1.0
http://t.co/k4wOhuzQCd -> Self-Service : 1.0, 1.14
Self-Service -> http://t.co/k4wOhuzQCd : 0.0, 0.82
http://t.co/k4wOhuzQCd -> No-Contract : 1.0, 1.0
No-Contract -> http://t.co/k4wOhuzQCd : 0.0, 0.67
Daily -> http://t.co/k4wOhuzQCd : 0.0, 0.67
http://t.co/k4wOhuzQCd -> Daily : 1.0, 1.14
http://t.co/k4wOhuzQCd -> Deployment : 0.0, 0.91
http://t.co/k4wOhuzQCd -> HPUX : 1.0, 1.98
HPUX -> http://t.co/k4wOhuzQCd : 0.0, 0.8
Automated -> http://t.co/k4wOhuzQCd : 0.0, 0.79
http://t.co/k4wOhuzQCd -> Automated : 1.0, 1.98
http://t.co/k4wOhuzQCd -> AIX : 1.0, 1.98
AIX -> http://t.co/k4wOhuzQCd : 0.0, 0.79
http://t.co/k4wOhuzQCd -> Solaris : 1.0, 1.98
Solaris -> http://t.co/k4wOhuzQCd : 0.0, 0.79
Service -> http://t.co/k4wOhuzQCd : 0.0, 0.77
http://t.co/k4wOhuzQCd -> Service : 1.0, 1.98
http://t.co/k4wOhuzQCd -> Linux : 2.0, 2.0
el -> en : 0.0, 0.94
de -> el : 0.0, 0.65
el -> de : 1.0, 1.61
el -> de : 2.0, 2.88
from -> to : 0.0, 0.67
from -> to : 1.0, 1.37
from -> and : 0.0, 0.85
from -> and : 1.0, 1.73
from -> Linux : 1.0, 1.25
from -> Linux : 2.0, 2.53
with ->  : 0.0, 0.62
On-Demand ->  : 0.0, 0.68
On-Demand -> Weekly : 0.0, 0.82
Self-Service -> On-Demand : 1.0, 1.19
On-Demand -> Self-Service : 1.0, 1.45
On-Demand -> Self-Service : 2.0, 2.14
No-Contract -> On-Demand : 0.0, 0.87
On-Demand -> No-Contract : 1.0, 1.14
On-Demand -> No-Contract : 1.0, 1.68
On-Demand -> Daily : 0.0, 0.62
On-Demand -> Daily : 0.0, 0.91
Deployment -> On-Demand : 0.0, 0.6
On-Demand -> Deployment : 0.0, 0.94
On-Demand -> Deployment : 1.0, 1.39
HPUX -> On-Demand : 0.0, 0.92
On-Demand -> HPUX : 2.0, 2.0
On-Demand -> HPUX : 2.0, 2.95
Automated -> On-Demand : 0.0, 0.91
On-Demand -> Automated : 2.0, 2.0
On-Demand -> Automated : 2.0, 2.95
AIX -> On-Demand : 0.0, 0.91
On-Demand -> AIX : 2.0, 2.0
On-Demand -> AIX : 2.0, 2.95
Solaris -> On-Demand : 0.0, 0.91
On-Demand -> Solaris : 2.0, 2.0
On-Demand -> Solaris : 2.0, 2.95
Service -> On-Demand : 0.0, 0.88
On-Demand -> Service : 2.0, 2.0
On-Demand -> Service : 2.0, 2.95
On-Demand -> Linux : 2.0, 2.0
On-Demand -> Linux : 2.0, 2.95
via -> Linux : 1.0, 1.16
via -> Linux : 2.0, 2.35
Linus -> suspende : 1.0, 1.34
suspende -> Linus : 2.0, 2.0
suspende -> Linus : 4.0, 4.06
Torvalds -> suspende : 0.0, 0.99
suspende -> Torvalds : 2.0, 2.0
suspende -> Torvalds : 4.0, 4.06
Weekly ->  : 0.0, 0.61
Weekly -> No-Contract : 0.0, 0.77
Daily -> Weekly : 1.0, 1.7
Weekly -> Daily : 2.0, 2.32
Weekly -> Daily : 3.0, 3.84
Weekly -> Deployment : 1.0, 1.86
Deployment -> Weekly : 1.0, 1.31
Weekly -> Deployment : 3.0, 3.07
Weekly -> HPUX : 1.0, 1.99
HPUX -> Weekly : 1.0, 1.0
Weekly -> HPUX : 3.0, 3.28
Weekly -> Automated : 1.0, 1.99
Automated -> Weekly : 0.0, 0.99
Weekly -> Automated : 3.0, 3.28
Weekly -> AIX : 1.0, 1.99
AIX -> Weekly : 0.0, 0.99
Weekly -> AIX : 3.0, 3.28
Weekly -> Solaris : 1.0, 1.99
Solaris -> Weekly : 0.0, 0.99
Weekly -> Solaris : 3.0, 3.28
Weekly -> Service : 1.0, 1.99
Service -> Weekly : 0.0, 0.96
Weekly -> Service : 3.0, 3.28
Weekly -> Linux : 2.0, 2.0
Weekly -> Linux : 3.0, 3.3
la ->  : 0.0, 0.66
la -> en : 0.0, 0.68
la -> en : 1.0, 1.02
la -> de : 0.0, 0.87
la -> de : 1.0, 1.32
Ubuntu ->  : 0.0, 0.6
Ubuntu -> Linux : 1.0, 1.44
Ubuntu -> Linux : 2.0, 2.4
Self-Service ->  : 0.0, 0.7
Self-Service -> No-Contract : 1.0, 1.68
No-Contract -> Self-Service : 1.0, 1.56
Self-Service -> No-Contract : 2.0, 2.42
Self-Service -> Daily : 0.0, 0.67
Self-Service -> Deployment : 1.0, 1.04
Deployment -> Self-Service : 0.0, 0.81
Self-Service -> Deployment : 1.0, 1.49
HPUX -> Self-Service : 1.0, 1.11
Self-Service -> HPUX : 1.0, 1.99
Self-Service -> HPUX : 2.0, 2.85
Automated -> Self-Service : 1.0, 1.1
Self-Service -> Automated : 1.0, 1.99
Self-Service -> Automated : 2.0, 2.85
AIX -> Self-Service : 1.0, 1.1
Self-Service -> AIX : 1.0, 1.99
Self-Service -> AIX : 2.0, 2.85
Solaris -> Self-Service : 1.0, 1.1
Self-Service -> Solaris : 1.0, 1.99
Self-Service -> Solaris : 2.0, 2.85
Service -> Self-Service : 1.0, 1.07
Self-Service -> Service : 1.0, 1.99
Self-Service -> Service : 2.0, 2.85
Self-Service -> Linux : 2.0, 2.0
Self-Service -> Linux : 2.0, 2.87
The ->  : 0.0, 0.64
The -> in : 0.0, 0.68
The -> of : 0.0, 0.67
The -> of : 1.0, 1.06
The -> to : 0.0, 0.68
The -> the : 0.0, 0.68
The -> and : 0.0, 0.83
The -> linux : 0.0, 0.83
The -> Linux : 0.0, 0.96
The -> Linux : 1.0, 1.51
at -> your : 0.0, 0.84
your -> at : 1.0, 1.12
your -> at : 2.0, 2.07
Torvalds -> your : 0.0, 0.62
your -> Torvalds : 1.0, 1.04
your -> Torvalds : 1.0, 1.91
of -> your : 0.0, 0.77
your -> of : 1.0, 1.57
your -> of : 2.0, 2.89
your -> to : 0.0, 0.67
your -> to : 1.0, 1.24
your -> linux : 0.0, 0.71
your -> Linux : 1.0, 1.23
your -> Linux : 2.0, 2.27
No-Contract ->  : 0.0, 0.73
No-Contract -> Daily : 0.0, 0.67
No-Contract -> Daily : 0.0, 0.92
No-Contract -> Deployment : 1.0, 1.25
Deployment -> No-Contract : 1.0, 1.05
No-Contract -> Deployment : 1.0, 1.71
HPUX -> No-Contract : 1.0, 1.2
No-Contract -> HPUX : 1.0, 1.99
No-Contract -> HPUX : 2.0, 2.73
Automated -> No-Contract : 1.0, 1.18
No-Contract -> Automated : 1.0, 1.99
No-Contract -> Automated : 2.0, 2.73
AIX -> No-Contract : 1.0, 1.18
No-Contract -> AIX : 1.0, 1.99
No-Contract -> AIX : 2.0, 2.73
Solaris -> No-Contract : 1.0, 1.18
No-Contract -> Solaris : 1.0, 1.99
No-Contract -> Solaris : 2.0, 2.73
Service -> No-Contract : 1.0, 1.15
No-Contract -> Service : 1.0, 1.99
No-Contract -> Service : 2.0, 2.73
No-Contract -> Linux : 2.0, 2.0
No-Contract -> Linux : 2.0, 2.74
Mint -> XP : 0.0, 0.92
XP -> Mint : 1.0, 1.09
XP -> Mint : 2.0, 2.21
Windows -> XP : 1.0, 1.07
XP -> Windows : 1.0, 1.95
XP -> Windows : 3.0, 3.95
XP -> for : 0.0, 0.64
XP -> for : 1.0, 1.29
XP -> to : 0.0, 0.86
XP -> and : 0.0, 0.86
XP -> Linux : 1.0, 1.53
XP -> Linux : 3.0, 3.1
[PATCH -> arm : 1.0, 1.21
arm -> [PATCH : 1.0, 1.44
arm -> [PATCH : 2.0, 2.9
Re: -> arm : 0.0, 0.72
arm -> Re: : 0.0, 0.87
arm -> Re: : 1.0, 1.76
arm -> for : 0.0, 0.71
arm -> the : 1.0, 1.05
arm -> linux : 2.0, 2.0
arm -> linux : 4.0, 4.05
Daily ->  : 0.0, 0.66
Daily -> Deployment : 1.0, 1.73
Deployment -> Daily : 1.0, 1.66
Daily -> Deployment : 2.0, 2.63
Daily -> HPUX : 1.0, 1.82
HPUX -> Daily : 1.0, 1.26
Daily -> HPUX : 2.0, 2.77
Daily -> Automated : 1.0, 1.82
Automated -> Daily : 1.0, 1.24
Daily -> Automated : 2.0, 2.77
Daily -> AIX : 1.0, 1.82
AIX -> Daily : 1.0, 1.24
Daily -> AIX : 2.0, 2.77
Daily -> Solaris : 1.0, 1.82
Solaris -> Daily : 1.0, 1.24
Daily -> Solaris : 2.0, 2.77
Daily -> Service : 1.0, 1.82
Service -> Daily : 1.0, 1.2
Daily -> Service : 2.0, 2.77
Daily -> Linux : 2.0, 2.0
Daily -> Linux : 3.0, 3.03
Re: -> [PATCH : 0.0, 0.94
[PATCH -> Re: : 0.0, 0.96
[PATCH -> Re: : 1.0, 1.94
[PATCH -> in : 0.0, 0.8
[PATCH -> for : 0.0, 0.6
[PATCH -> to : 0.0, 0.64
[PATCH -> the : 0.0, 0.96
[PATCH -> linux : 1.0, 1.99
[PATCH -> linux : 4.0, 4.02
Mint ->  : 0.0, 0.69
Windows -> Mint : 0.0, 0.86
Mint -> Windows : 1.0, 1.33
Mint -> Windows : 1.0, 1.91
Mint -> for : 0.0, 0.61
Mint -> for : 0.0, 0.89
Mint -> Linux : 2.0, 2.4
Mint -> Linux : 3.0, 3.46
HPUX -> Deployment : 1.0, 1.4
Deployment -> HPUX : 1.0, 1.96
Deployment -> HPUX : 3.0, 3.96
Automated -> Deployment : 1.0, 1.41
Deployment -> Automated : 2.0, 2.0
Deployment -> Automated : 4.0, 4.04
AIX -> Deployment : 1.0, 1.38
Deployment -> AIX : 1.0, 1.96
Deployment -> AIX : 3.0, 3.96
Solaris -> Deployment : 1.0, 1.38
Deployment -> Solaris : 1.0, 1.96
Deployment -> Solaris : 3.0, 3.96
Service -> Deployment : 1.0, 1.35
Deployment -> Service : 1.0, 1.96
Deployment -> Service : 3.0, 3.96
Deployment -> Linux : 1.0, 1.96
Deployment -> Linux : 3.0, 3.96
Linus -> en : 0.0, 0.63
Linus -> Torvalds : 1.0, 1.64
Torvalds -> Linus : 1.0, 1.22
Linus -> Torvalds : 3.0, 3.31
Re: -> in : 1.0, 1.02
Re: -> to : 0.0, 0.86
Re: -> the : 0.0, 0.71
Re: -> linux : 1.0, 1.87
Re: -> linux : 3.0, 3.78
en -> de : 0.0, 0.69
en -> de : 1.0, 1.21
en -> Linux : 0.0, 0.88
en -> Linux : 1.0, 1.54
Torvalds -> at : 0.0, 0.68
at -> Torvalds : 0.0, 0.85
at -> Torvalds : 1.0, 1.71
of -> at : 0.0, 0.6
at -> of : 0.0, 0.92
at -> of : 1.0, 1.85
at -> Linux : 2.0, 2.11
at -> Linux : 4.0, 4.25
on -> to : 0.0, 0.65
on -> to : 1.0, 1.11
on -> the : 0.0, 0.71
on -> the : 1.0, 1.22
on -> Linux : 1.0, 1.07
on -> Linux : 1.0, 1.84
Torvalds -> of : 0.0, 0.66
Torvalds -> of : 1.0, 1.33
Torvalds -> Linux : 0.0, 0.99
Torvalds -> Linux : 2.0, 2.0
de ->  : 1.0, 1.01
Automated -> HPUX : 1.0, 1.97
HPUX -> Automated : 1.0, 1.99
HPUX -> Automated : 4.0, 4.01
AIX -> HPUX : 1.0, 1.97
HPUX -> AIX : 1.0, 1.99
HPUX -> AIX : 4.0, 4.01
HPUX -> Solaris : 1.0, 1.99
Solaris -> HPUX : 1.0, 1.97
HPUX -> Solaris : 4.0, 4.01
Service -> HPUX : 1.0, 1.91
HPUX -> Service : 1.0, 1.99
HPUX -> Service : 4.0, 4.01
HPUX -> Linux : 2.0, 2.0
HPUX -> Linux : 4.0, 4.03
is ->  : 0.0, 0.64
is -> to : 0.0, 0.62
is -> the : 0.0, 0.87
is -> the : 1.0, 1.36
is -> Linux : 0.0, 0.81
is -> Linux : 1.0, 1.27
Automated -> AIX : 1.0, 1.97
AIX -> Automated : 1.0, 1.97
Automated -> AIX : 3.0, 3.96
Automated -> Solaris : 1.0, 1.97
Solaris -> Automated : 1.0, 1.97
Automated -> Solaris : 3.0, 3.96
Automated -> Service : 1.0, 1.97
Service -> Automated : 1.0, 1.91
Automated -> Service : 3.0, 3.96
Automated -> Linux : 1.0, 1.97
Automated -> Linux : 3.0, 3.97
AIX -> Solaris : 1.0, 1.97
Solaris -> AIX : 1.0, 1.97
AIX -> Solaris : 3.0, 3.96
Service -> AIX : 1.0, 1.91
AIX -> Service : 1.0, 1.97
AIX -> Service : 3.0, 3.96
AIX -> Linux : 2.0, 2.0
AIX -> Linux : 4.0, 4.03
Service -> Solaris : 1.0, 1.91
Solaris -> Service : 1.0, 1.97
Solaris -> Service : 3.0, 3.96
Solaris -> Linux : 1.0, 1.97
Solaris -> Linux : 3.0, 3.97
Service -> Linux : 1.0, 1.95
Service -> Linux : 3.0, 3.92
Windows -> for : 0.0, 0.8
Windows -> to : 0.0, 0.66
Windows -> Linux : 1.0, 1.55
Windows -> Linux : 2.0, 2.82
in -> of : 0.0, 0.93
in -> to : 0.0, 0.88
in -> the : 0.0, 0.8
